TreatmentGroup,Generations,AlleleDistrobution,PopulationSize,Number of alleles,RealNumberOfLoci,EstimatedNumberOfLoci,Fis,AverageShanPerIndi-1Hi,TotalShanOfPop-1Hs,Average1HiOver1Hs,AverageHighestAlleleCountPerIndividual,VarOfIndiSHAN,Number of Fixed loci,AverageRichPerIndi-0Hi,TotalRichOfPop-0Hs,VarOfIndiRICH,AverageHetPerIndi-2Hi,TotalHetOfPop-2Hs,VarOfIndiHET,EyePRime,Pee,Eye,Ell,Ohh,LOC OR AL,IndiEveness,PopEveness,Fis,Sis
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.03090968,1.059128571,1.502792804,0.704773518,3.125,0.134481432,ERROR with this fucntion atm,-2.425,9,0.944375,0.586111111,0.679895833,0.030393519,"[0.7166666666666668, '9', '3.425', 3.0, '0.38055555555555554']",,,,,9,0.482030186,0.68395048,0.03090968,0.295226482
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.144382341,0.795489427,1.427615859,0.557215319,3.85,0.14968015,ERROR with this fucntion atm,-1.725,9,0.799375,0.463888889,0.601909722,0.044683642,"[1.1833333333333333, '9', '2.725', 3.0, '0.3027777777777778']",,,,,9,0.36204284,0.649735978,0.144382341,0.442784681
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.119092386,0.612830379,0.934329528,0.655903898,4.275,0.101912472,ERROR with this fucntion atm,-1.175,6,0.544375,0.390277778,0.4621875,0.034025849,"[0.8250000000000002, '6', '2.175', 2.0, '0.3625']",,,,,6,0.342027147,0.521459238,0.119092386,0.344096102
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.075392177,0.802393056,1.15237801,0.696293273,3.975,0.122354751,ERROR with this fucntion atm,-1.775,7,0.824375,0.468055556,0.533402778,0.031772762,"[0.2250000000000001, '7', '2.775', 2.0, '0.3964285714285714']",,,,,7,0.412348461,0.592205149,0.075392177,0.303706727
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.037170478,0.775831338,1.300947319,0.596358766,4.025,0.217279854,ERROR with this fucntion atm,-1.775,10,1.374375,0.438888889,0.542743056,0.058302469,"[1.1500000000000001, '10', '2.775', 3.0, '0.27749999999999997']",,,,,10,0.336939269,0.564994242,-0.037170478,0.403641234
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.017847055,0.925938623,1.403580576,0.659697518,3.6,0.060848677,ERROR with this fucntion atm,-2.025,9,0.524375,0.540277778,0.627534722,0.011726466,"[-0.02499999999999991, '9', '3.025', 2.0, '0.3361111111111111']",,,,,9,0.421412828,0.638797049,0.017847055,0.340302482
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.078167427,0.634341925,0.95709208,0.662780456,4.425,0.150870911,ERROR with this fucntion atm,-1.4,7,0.84,0.373611111,0.441284722,0.045677083,"[0.6000000000000001, '7', '2.4', 2.0, '0.34285714285714286']",,,,,7,0.325987264,0.491848033,-0.078167427,0.337219544
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.132966844,0.898259497,1.297788434,0.692146327,3.55,0.055218659,ERROR with this fucntion atm,-1.9,7,0.34,0.531944444,0.613229167,0.014951775,"[0.10000000000000009, '7', '2.9', 2.0, '0.41428571428571426']",,,,,7,0.461614067,0.666931325,-0.132966844,0.307853673
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.068726274,0.698644792,1.07463357,0.650123737,4.25,0.164395828,ERROR with this fucntion atm,-1.575,7,0.894375,0.402777778,0.479548611,0.04841821,"[0.4249999999999998, '7', '2.575', 2.0, '0.3678571428571429']",,,,,7,0.359032401,0.55225241,0.068726274,0.349876263
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.084787168,1.05025856,1.511219079,0.694974391,3.275,0.130540818,ERROR with this fucntion atm,-2.45,8,0.8975,0.577777778,0.669861111,0.029907407,"[0.6999999999999998, '8', '3.45', 3.0, '0.43125']",,,,,8,0.505067605,0.726742757,-0.084787168,0.305025609
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.170721106,1.14459625,1.531158195,0.747536247,2.65,0.032853407,ERROR with this fucntion atm,-2.475,9,0.449375,0.65,0.720104167,0.004969136,"[0.6833333333333332, '9', '3.475', 3.0, '0.3861111111111111']",,,,,9,0.520928203,0.696860126,0.170721106,0.252463753
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.03018513,0.924597402,1.475953157,0.626440885,3.625,0.114335057,ERROR with this fucntion atm,-2.075,10,0.869375,0.529166667,0.627569444,0.025152392,"[0.9499999999999998, '10', '3.075', 3.0, '0.3075']",,,,,10,0.40154755,0.640998312,-0.03018513,0.373559115
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.072719614,0.948755106,1.430199042,0.663372774,3.575,0.070319139,ERROR with this fucntion atm,-2.125,9,0.559375,0.544444444,0.620659722,0.014382716,"[0.9166666666666666, '9', '3.125', 3.0, '0.3472222222222222']",,,,,9,0.431797057,0.650911635,-0.072719614,0.336627226
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.010975604,0.925398061,1.406314881,0.658030483,3.575,0.167415513,ERROR with this fucntion atm,-2.1,8,1.14,0.522222222,0.618541667,0.040864198,"[0.9333333333333332, '8', '3.1', 3.0, '0.3875']",,,,,8,0.445022398,0.676294502,0.010975604,0.341969517
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.027042637,0.742964864,0.981023112,0.757336759,4.025,0.112316958,ERROR with this fucntion atm,-1.55,6,0.9475,0.451388889,0.498611111,0.023485725,"[1.3, '6', '2.55', 3.0, '0.425']",,,,,6,0.414656586,0.547519424,-0.027042637,0.242663241
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.091658633,1.047138486,1.66982481,0.627094818,3.15,0.133515972,ERROR with this fucntion atm,-2.375,9,1.034375,0.584722222,0.732118056,0.026541281,"[0.75, '9', '3.375', 3.0, '0.375']",,,,,9,0.476573263,0.759970022,0.091658633,0.372905182
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.044966695,0.802756083,1.204949063,0.666215783,3.925,0.20302694,ERROR with this fucntion atm,-1.825,7,1.194375,0.454166667,0.546215278,0.056001157,"[1.1166666666666665, '7', '2.825', 3.0, '0.4035714285714286']",,,,,7,0.412535021,0.619221326,0.044966695,0.333784217
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.028753168,1.094939621,1.463628439,0.748099444,3.075,0.097212652,ERROR with this fucntion atm,-2.5,7,0.8,0.608333333,0.683715278,0.019591049,"[0.6666666666666666, '7', '3.5', 3.0, '0.5']",,,,,7,0.562687656,0.752156228,-0.028753168,0.251900556
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.028904695,0.817829958,1.331885217,0.614039369,3.875,0.195731849,ERROR with this fucntion atm,-1.85,9,1.1775,0.463888889,0.562430556,0.054097222,"[1.0999999999999999, '9', '2.85', 3.0, '0.31666666666666665']",,,,,9,0.372210454,0.606167085,0.028904695,0.385960631
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.147268902,1.188524969,1.995982148,0.595458717,2.625,0.109969085,ERROR with this fucntion atm,-2.725,10,1.049375,0.65,0.834479167,0.01962963,"[0.5166666666666666, '10', '3.725', 3.0, '0.3725']",,,,,10,0.516169835,0.866844033,0.147268902,0.404541283
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.008818048,1.090504615,1.60421475,0.679774709,3.15,0.077307311,ERROR with this fucntion atm,-2.5,9,0.65,0.606944444,0.688958333,0.014720293,"[0.6666666666666666, '9', '3.5', 3.0, '0.3888888888888889']",,,,,9,0.496310039,0.730109597,0.008818048,0.320225291
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.050216492,0.816089426,1.247415383,0.654224276,3.95,0.045669623,ERROR with this fucntion atm,-1.775,8,0.374375,0.484722222,0.543645833,0.010337577,"[0.2250000000000001, '8', '2.775', 2.0, '0.346875']",,,,,8,0.392456056,0.599879996,0.050216492,0.345775724
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.030821535,0.949118133,1.517633176,0.625393638,3.5,0.174122052,ERROR with this fucntion atm,-2.15,10,1.3775,0.536111111,0.658819444,0.037430556,"[0.9, '10', '3.15', 3.0, '0.315']",,,,,10,0.412196768,0.659099714,-0.030821535,0.374606362
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.074048362,0.30762821,0.545841593,0.56358514,5.3,0.12283379,ERROR with this fucntion atm,-0.7,7,0.66,0.181944444,0.2165625,0.040584491,"[1.3, '7', '1.7', 2.0, '0.24285714285714285']",,,,,7,0.158089627,0.28050709,-0.074048362,0.43641486
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.022946225,0.723018352,0.9191745,0.786595311,3.975,0.054226782,ERROR with this fucntion atm,-1.4,6,0.49,0.458333333,0.492152778,0.010609568,"[1.4000000000000001, '6', '2.4', 3.0, '0.39999999999999997']",,,,,6,0.403524225,0.513001056,-0.022946225,0.213404689
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.084156225,1.204651641,1.709451501,0.704700683,2.475,0.07849675,ERROR with this fucntion atm,-2.675,7,0.969375,0.669444444,0.8021875,0.009868827,"[0.5500000000000002, '7', '3.675', 3.0, '0.525']",,,,,7,0.619068481,0.878484293,0.084156225,0.295299317
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.002288978,0.794249099,1.233390642,0.643955834,4.025,0.237637431,ERROR with this fucntion atm,-1.85,8,1.4775,0.443055556,0.530833333,0.06396412,"[1.0999999999999999, '8', '2.85', 3.0, '0.35625']",,,,,8,0.381953079,0.593135521,-0.002288978,0.356044166
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.040186967,0.908396125,1.29227592,0.702942855,3.5,0.079576848,ERROR with this fucntion atm,-1.95,8,0.5975,0.533333333,0.611388889,0.01787037,"[0.04999999999999982, '8', '2.95', 2.0, '0.36875']",,,,,8,0.436846195,0.621453354,-0.040186967,0.297057145
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.021658734,1.004048748,1.440168083,0.697174698,3.35,0.127835093,ERROR with this fucntion atm,-2.275,9,1.149375,0.566666667,0.649583333,0.022716049,"[0.8166666666666668, '9', '3.275', 3.0, '0.3638888888888889']",,,,,9,0.456962278,0.655448741,-0.021658734,0.302825302
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.01730599,0.502668696,0.858233986,0.585701224,4.75,0.212113135,ERROR with this fucntion atm,-1.125,8,1.109375,0.291666667,0.363333333,0.068171296,"[1.5833333333333333, '8', '2.125', 3.0, '0.265625']",,,,,8,0.241732545,0.412723305,0.01730599,0.414298776
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.039527493,0.877772423,1.352559621,0.648971335,3.75,0.135876586,ERROR with this fucntion atm,-1.975,9,0.874375,0.501388889,0.587222222,0.035569059,"[1.0166666666666666, '9', '2.975', 3.0, '0.33055555555555555']",,,,,9,0.399491446,0.615576412,0.039527493,0.351028665
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.116482077,0.845845822,1.382290617,0.611916055,3.675,0.139212503,ERROR with this fucntion atm,-1.825,10,0.944375,0.494444444,0.601041667,0.034537037,"[1.1166666666666665, '10', '2.825', 3.0, '0.28250000000000003']",,,,,10,0.367346173,0.600321187,0.116482077,0.388083945
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.002705605,0.875118308,1.190747211,0.734932065,3.75,0.058899454,ERROR with this fucntion atm,-1.9,6,0.59,0.516666667,0.569722222,0.009444444,"[1.0666666666666667, '6', '2.9', 3.0, '0.48333333333333334']",,,,,6,0.488412827,0.664568672,0.002705605,0.265067935
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.071958566,0.748414347,1.113359636,0.672212574,4.125,0.18498885,ERROR with this fucntion atm,-1.7,7,1.26,0.429166667,0.504548611,0.045831404,"[1.2, '7', '2.7', 3.0, '0.38571428571428573']",,,,,7,0.384608892,0.572153672,-0.071958566,0.327787426
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.018346577,0.678121435,1.046047688,0.648270096,4.35,0.179467588,ERROR with this fucntion atm,-1.55,7,1.1975,0.390277778,0.4584375,0.045908565,"[1.3, '7', '2.55', 3.0, '0.36428571428571427']",,,,,7,0.348485481,0.537562173,-0.018346577,0.351729904
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.097693057,1.109725073,1.630330198,0.68067504,2.925,0.140013151,ERROR with this fucntion atm,-2.525,8,1.149375,0.613888889,0.729166667,0.029158951,"[0.65, '8', '3.525', 3.0, '0.440625']",,,,,8,0.533664953,0.784023097,0.097693057,0.31932496
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.106581884,1.264594107,1.843574807,0.685946728,2.225,0.113802179,ERROR with this fucntion atm,-2.9,8,1.34,0.684722222,0.820034722,0.019041281,"[0.4000000000000001, '8', '3.9', 3.0, '0.4875']",,,,,8,0.608141216,0.886572077,0.106581884,0.314053272
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.070065097,0.850307116,1.297618594,0.655282777,3.8,0.200635377,ERROR with this fucntion atm,-1.925,8,1.319375,0.481944444,0.580138889,0.051448688,"[1.05, '8', '2.925', 3.0, '0.365625']",,,,,8,0.408911287,0.624022637,-0.070065097,0.344717223
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.096984858,0.568185602,0.920630953,0.617169779,4.625,0.156757114,ERROR with this fucntion atm,-1.275,8,0.899375,0.333333333,0.394270833,0.047376543,"[1.4833333333333334, '8', '2.275', 3.0, '0.284375']",,,,,8,0.273239517,0.442729904,0.096984858,0.382830221
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.054321244,1.294239615,1.714147022,0.755034194,2.275,0.05937232,ERROR with this fucntion atm,-3,8,0.75,0.697222222,0.780104167,0.007708333,"[0.3333333333333333, '8', '4.0', 3.0, '0.5']",,,,,8,0.622397691,0.824330469,0.054321244,0.244965806
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.10859735,0.90763175,1.285007011,0.706324356,3.525,0.086501777,ERROR with this fucntion atm,-1.95,8,0.5475,0.530555556,0.608680556,0.023757716,"[0.04999999999999982, '8', '2.95', 2.0, '0.36875']",,,,,8,0.436478608,0.617957748,0.10859735,0.293675644
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.017406909,0.919986899,1.427025263,0.644688586,3.675,0.123893266,ERROR with this fucntion atm,-2.1,9,0.99,0.522222222,0.605763889,0.024969136,"[0.9333333333333332, '9', '3.1', 3.0, '0.34444444444444444']",,,,,9,0.418704082,0.649467186,-0.017406909,0.355311414
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.011887134,0.589975575,0.875042221,0.674225267,4.475,0.177664209,ERROR with this fucntion atm,-1.275,6,0.949375,0.35,0.4228125,0.056666667,"[0.7250000000000001, '6', '2.275', 2.0, '0.37916666666666665']",,,,,6,0.329271638,0.488370362,0.011887134,0.325774733
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.130027983,1.071685506,1.506845401,0.71121132,3.175,0.099800959,ERROR with this fucntion atm,-2.425,8,0.994375,0.602777778,0.682118056,0.014436728,"[0.7166666666666668, '8', '3.425', 3.0, '0.428125']",,,,,8,0.515371788,0.724639462,-0.130027983,0.28878868
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.033494677,1.056109391,1.537415193,0.686938308,3.15,0.118463808,ERROR with this fucntion atm,-2.4,8,0.94,0.588888889,0.682083333,0.025123457,"[0.7333333333333334, '8', '3.4', 3.0, '0.425']",,,,,8,0.50788126,0.739340425,0.033494677,0.313061692
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.06544725,1.104388515,1.539187519,0.717513949,3.15,0.12141448,ERROR with this fucntion atm,-2.6,8,1.09,0.604166667,0.685,0.018856096,"[0.6, '8', '3.6', 3.0, '0.45']",,,,,8,0.531098611,0.740192734,-0.06544725,0.282486051
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.021517444,1.057337686,1.476692177,0.716017666,3.225,0.158159872,ERROR with this fucntion atm,-2.45,9,1.1475,0.581944444,0.664756944,0.037498071,"[0.6999999999999998, '9', '3.45', 3.0, '0.38333333333333336']",,,,,9,0.481215119,0.672071573,0.021517444,0.283982334
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.15876591,1.211843693,1.611107514,0.752180523,2.425,0.049901739,ERROR with this fucntion atm,-2.675,9,0.619375,0.675,0.747256944,0.006566358,"[0.5500000000000002, '9', '3.675', 3.0, '0.4083333333333333']",,,,,9,0.551533833,0.733246629,0.15876591,0.247819477
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.059634229,0.798760747,1.118354825,0.714228373,4,0.049250886,ERROR with this fucntion atm,-1.725,7,0.449375,0.477777778,0.521979167,0.01,"[0.2749999999999999, '7', '2.725', 2.0, '0.3892857142857143']",,,,,7,0.410481824,0.574720691,-0.059634229,0.285771627
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.020497913,0.97440324,1.447801282,0.673022777,3.35,0.1294838,ERROR with this fucntion atm,-2.175,9,0.844375,0.551388889,0.648645833,0.034010417,"[0.8833333333333334, '9', '3.175', 3.0, '0.35277777777777775']",,,,,9,0.443470026,0.65892276,0.020497913,0.326977223
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.004873716,0.869592183,1.404112736,0.619317923,3.55,0.152678303,ERROR with this fucntion atm,-1.825,10,1.044375,0.513888889,0.646284722,0.037770062,"[0.17499999999999982, '10', '2.825', 2.0, '0.28250000000000003']",,,,,10,0.377659087,0.609798413,0.004873716,0.380682077
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.13865979,0.651874428,1.142051863,0.570792316,4.15,0.196576231,ERROR with this fucntion atm,-1.35,7,0.9775,0.390277778,0.527638889,0.063346836,"[0.6499999999999999, '7', '2.35', 2.0, '0.33571428571428574']",,,,,7,0.334997188,0.586898559,0.13865979,0.429207684
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.032426571,0.683710132,1.154084491,0.59242641,4.175,0.140446103,ERROR with this fucntion atm,-1.45,8,0.6975,0.408333333,0.5159375,0.044683642,"[0.5499999999999998, '8', '2.45', 2.0, '0.30625']",,,,,8,0.328795072,0.554997324,0.032426571,0.40757359
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.036901092,1.27962966,1.821130273,0.70265685,2.575,0.067104471,ERROR with this fucntion atm,-3.025,9,0.774375,0.686111111,0.786979167,0.00841821,"[0.31666666666666643, '9', '4.025', 3.0, '0.44722222222222224']",,,,,9,0.582384556,0.828832106,-0.036901092,0.29734315
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.162929829,1.024711319,1.408525439,0.727506434,3.45,0.034570957,ERROR with this fucntion atm,-2.35,7,0.2775,0.577777778,0.634166667,0.00691358,"[-0.3500000000000001, '7', '3.35', 2.0, '0.4785714285714286']",,,,,7,0.526597448,0.723838888,-0.162929829,0.272493566
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.026092081,1.02166585,1.532497963,0.66666702,3.25,0.14262884,ERROR with this fucntion atm,-2.325,9,1.019375,0.569444444,0.670972222,0.034837963,"[0.7833333333333332, '9', '3.325', 3.0, '0.36944444444444446']",,,,,9,0.464980167,0.69746988,0.026092081,0.33333298
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.019560789,0.527739984,0.926800459,0.569421367,4.675,0.218536693,ERROR with this fucntion atm,-1.175,8,1.194375,0.306944444,0.384201389,0.067590664,"[0.8250000000000002, '8', '2.175', 2.0, '0.271875']",,,,,8,0.253789286,0.445696809,0.019560789,0.430578633
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.06085903,0.910903069,1.283707345,0.709587799,3.625,0.103478142,ERROR with this fucntion atm,-2,9,1,0.530555556,0.590694444,0.016350309,"[1.0, '9', '3.0', 3.0, '0.3333333333333333']",,,,,9,0.414569853,0.584240391,-0.06085903,0.290412201
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.054403495,0.686519755,1.23658155,0.55517548,4.2,0.305855834,ERROR with this fucntion atm,-1.55,8,1.7975,0.3875,0.530625,0.088809799,"[1.3, '8', '2.55', 3.0, '0.31875']",,,,,8,0.330146215,0.594670023,-0.054403495,0.44482452
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.011907121,0.521286019,0.763101097,0.683115279,4.675,0.122559221,ERROR with this fucntion atm,-1.1,5,0.59,0.318055556,0.372638889,0.042744985,"[0.8999999999999999, '5', '2.1', 2.0, '0.42000000000000004']",,,,,6,0.290935267,0.47414137,-0.011907121,0.386395525
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.00958627,0.730648035,1.024227976,0.713364654,4.15,0.056256574,ERROR with this fucntion atm,-1.55,7,0.3975,0.443055556,0.491388889,0.015661651,"[0.4500000000000002, '7', '2.55', 2.0, '0.36428571428571427']",,,,,7,0.375478814,0.526349059,-0.00958627,0.286635346
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.185012267,0.347121923,0.575809641,0.602841457,5.15,0.12723531,ERROR with this fucntion atm,-0.75,7,0.6875,0.211111111,0.254270833,0.042314815,"[1.8333333333333333, '7', '1.75', 3.0, '0.25']",,,,,7,0.178385381,0.29590762,0.185012267,0.397158543
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.007446019,0.865707734,1.26618356,0.683714243,3.5,0.083142748,ERROR with this fucntion atm,-1.725,8,0.699375,0.529166667,0.601909722,0.015893133,"[1.1833333333333333, '8', '2.725', 3.0, '0.340625']",,,,,8,0.416317418,0.608905581,0.007446019,0.316285757
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,-0.012015396,0.614181595,0.925817973,0.663393468,4.525,0.170473081,ERROR with this fucntion atm,-1.4,7,1.04,0.355555556,0.414513889,0.047808642,"[1.4000000000000001, '7', '2.4', 3.0, '0.34285714285714286']",,,,,7,0.315626904,0.475776321,-0.012015396,0.336606532
MS 3 Loci,10,"[0.5, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",40,10,3,3,0.106716969,0.958490386,1.617401983,0.592611111,3.35,0.183804815,ERROR with this fucntion atm,-2.125,10,1.259375,0.543055556,0.681666667,0.045291281,"[0.9166666666666666, '10', '3.125', 3.0, '0.3125']",,,,,10,0.416267085,0.702428756,0.106716969,0.407388889
