TreatmentGroup,Generations,AlleleDistrobution,PopulationSize,Number of alleles,RealNumberOfLoci,EstimatedNumberOfLoci,Fis,AverageShanPerIndi-1Hi,TotalShanOfPop-1Hs,Average1HiOver1Hs,AverageHighestAlleleCountPerIndividual,VarOfIndiSHAN,Number of Fixed loci,AverageRichPerIndi-0Hi,TotalRichOfPop-0Hs,VarOfIndiRICH,AverageHetPerIndi-2Hi,TotalHetOfPop-2Hs,VarOfIndiHET,EyePRime,Pee,Eye,Ell,Ohh,LOC OR AL,IndiEveness,PopEveness,Fis,Sis
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.02338152,1.424912624,2.133237415,0.667957825,2,0.058417304,ERROR with this fucntion atm,-3.475,10,0.949375,0.738888889,0.866770833,0.004814815,"[0.016666666666666902, '10', '4.475', 3.0, '0.44749999999999995']",,,,,10,0.61883169,0.926453238,0.02338152,0.332042175
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.019220688,1.399627517,2.105324857,0.664803587,2.15,0.08947681,ERROR with this fucntion atm,-3.425,10,1.194375,0.726388889,0.851145833,0.00947338,"[0.05000000000000012, '10', '4.425', 3.0, '0.4425']",,,,,10,0.607850507,0.914330968,0.019220688,0.335196413
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,-0.036981015,1.279742586,2.006819551,0.637696889,2.45,0.08460612,ERROR with this fucntion atm,-3.025,10,0.924375,0.684722222,0.841840278,0.011479552,"[0.31666666666666643, '10', '4.025', 3.0, '0.4025']",,,,,10,0.555785143,0.871550657,-0.036981015,0.362303111
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.017447929,1.46752641,2.046710072,0.717017241,1.85,0.057635345,ERROR with this fucntion atm,-3.625,9,1.034375,0.752777778,0.855694444,0.003695988,"[-0.08333333333333333, '9', '4.625', 3.0, '0.5138888888888888']",,,,,9,0.667900052,0.931497897,0.017447929,0.282982759
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.100151552,1.260233706,2.131212783,0.591322329,2.35,0.064463993,ERROR with this fucntion atm,-2.85,10,0.7775,0.690277778,0.864444444,0.007698688,"[0.4333333333333333, '10', '3.85', 3.0, '0.385']",,,,,10,0.547312544,0.925573951,0.100151552,0.408677671
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.031349762,1.549157956,2.209408164,0.701164222,1.625,0.058588576,ERROR with this fucntion atm,-3.95,10,1.0975,0.775,0.883125,0.003387346,"[-0.3000000000000001, '10', '4.95', 3.0, '0.495']",,,,,10,0.672790752,0.959533774,0.031349762,0.298835778
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.077436141,1.438645277,2.164164574,0.664757798,1.9,0.077783415,ERROR with this fucntion atm,-3.525,10,1.249375,0.743055556,0.873958333,0.006278935,"[-0.016666666666666902, '10', '4.525', 3.0, '0.4525']",,,,,10,0.624795705,0.939884732,0.077436141,0.335242202
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,-0.084467993,1.388075064,2.102300389,0.660264856,2.15,0.077613995,ERROR with this fucntion atm,-3.375,10,0.984375,0.723611111,0.857222222,0.008717207,"[0.08333333333333333, '10', '4.375', 3.0, '0.4375']",,,,,10,0.602833341,0.913017458,-0.084467993,0.339735144
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,-0.093050958,1.518096623,2.188465898,0.693680731,1.925,0.046092373,ERROR with this fucntion atm,-3.85,10,0.6775,0.763888889,0.878472222,0.004282407,"[-0.2333333333333331, '10', '4.85', 3.0, '0.485']",,,,,10,0.659300986,0.950438663,-0.093050958,0.306319269
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.014621941,1.37151076,2.071978954,0.661932766,2.1,0.078704391,ERROR with this fucntion atm,-3.275,10,1.049375,0.722222222,0.863854167,0.008487654,"[0.14999999999999977, '10', '4.275', 3.0, '0.42750000000000005']",,,,,10,0.595639555,0.899849026,0.014621941,0.338067234
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.164945563,1.35200188,1.932013394,0.699789082,2.1,0.04411282,ERROR with this fucntion atm,-3.15,9,0.6775,0.722222222,0.837430556,0.004012346,"[0.2333333333333331, '9', '4.15', 3.0, '0.46111111111111114']",,,,,9,0.615322573,0.879297189,0.164945563,0.300210918
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,-0.041122785,1.403223543,2.053157718,0.683446542,2,0.09285355,ERROR with this fucntion atm,-3.425,10,1.394375,0.729166667,0.856458333,0.008362269,"[0.05000000000000012, '10', '4.425', 3.0, '0.4425']",,,,,10,0.609412242,0.891675067,-0.041122785,0.316553458
